TID,KR,EN,CN,JP,PLD,TW,IND
putGemOnMiddle,비용: %s골드(자동 소모)\n성공 확률:,Cost: %s Gold (Automatically deducted)\nsuccess percentage),費用: %s金幣(自動消耗)\n成功機率:,費用: %sゴールド(自動 消耗)\n成功 確立:,Cena: %s złota (automatycznie odtrącona)\nprocent skuteczności,費用: %s金幣(自動消耗)\n成功機率:,Berharga: %s gold (dikurangi secara otomatis)\npersentasi sukses
questCompleteReward,<red>%s</red> 퀘스트를 완료하였습니다.\n보상으로 <lightbrown>%s %d개</lightbrown>를 얻었습니다.,<red>%s</red> quest completed.\n<lightbrown>%s: %d</lightbrown> received.,<red>%s</red> 任務完成！\n獲得任務獎勵：<lightbrown>%s %d個</lightbrown>,<red>%s</red> quest completed.\n<lightbrown>%s: %d</lightbrown> received.,Ukończyłeś misję <red>%s</red>.\nW nagrodę otrzymałeś <red>%s %d</red> Lekarstw.,<red>%s</red> 任務完成！\n獲得任務獎勵：<lightbrown>%s %d個</lightbrown>,Misi<red> %s</red> telah selesai.\nKamu telah menerima <lightbrown>%s %d </lightbrown>\nsebagai imbalan.
quickMsg1,아이템을 사용하시겠습니까?,Do you want to use the item?,您要使用物品嗎?,アイテムを使用しますか？,Czy chcesz użyć tego przedmiotu?,您要使用物品嗎?,Apa kamu mau menggunakan item ini?
raidBtn1,도전,Challenge,挑戰,挑戦,Wyzwanie,挑戰,Tantangan
raidBtn2,포기,Give up,放棄,放棄,Poddaj się,放棄,Menyerah
raidBtn3,보상받기,REWARD,獲得獎勵,補償取得,Nagroda,獲得獎勵,Reward
raidBtn4,끝내기,Finish,結束,終了,Koniec,結束,Finish
raidInfo1,속성,Type,屬性,属性,Typ,屬性,Tipe
raidInfo2,발견자 : %s,Founder : %s,發現者 : %s,発見者 : %s,Założyciel: %s,發現者 : %s,Founder : %s
raidInfo3_1,참가인원,Users,參加人員,Users,Użytkownicy,參加人員,Users
raidInfo3_2,%d명,%d,%d名,%d,%d,%d名,%d
raidInfo3,참가인원 : %d명,Users : %d,參加人員 : %d名,参加人 : %d,Użytkownicy : %d,參加人員 : %d名,Users : %d
raidInfo4_1,남은시간,Time remaining,剩餘時間,Time remaining,Pozostały czas,剩餘時間,Waktu tersisa
raidInfo4,남은시간 :,Time left :,剩餘時間 :,残り時間 :,Pozostało:,剩餘時間 :,Waktu tersisa :
raidInfo5,발견자,Founder,發現者,Founder,Founder,發現者,Founder
raidMonsterCriBlue,발버둥이나 쳐보라고!!,Struggling to change your fate?,可憐的傢伙! 掙扎吧!!,Come on baby!!,"Zatańczmy, dziecinko!",可憐的傢伙! 掙扎吧!!,Come on baby!!
raidMonsterCriDrago,적! 고출력 전자파 공격! 매우 효과적!!,Enemy! High electricfying attack!,對方! 強力電磁攻擊! 非常有效!!,Enemy! High electricfying attack!,Wróg! Atak elektrycznością o wysokim napięciu!,對方! 強力電磁攻擊! 非常有效!!,Musuh! Serangan High electricity!
raidMonsterCriGold,허풍쟁이 녀석!!! 이거나 먹어라!!!!,"Go away, you little twit!!",吹牛!!! 看招!!!!,"Go away, you little twit!!","Wynoś się, Ty mały durniu!",吹牛!!! 看招!!!!,"Pergi sana, makhluk kecil!"
raidMonsterCriPup,약점이 훤히 보이는군!!,Your weakness is my target!,破綻百出!!,Your weakness is my target!,Namierzyłem Twój słaby punkt!,破綻百出!!,Kelemahanmu adalah sasaranku!
raidMonsterCriVolca,허약해! 시시해! 최악의 상대야!!!,"Too weak, worst enemy ever!",弱者! 無聊! 根本不是我的對手!!!,"Too weak, worst enemy ever!","Największy słabeusz, najgorszy przeciwnik!",弱者! 無聊! 根本不是我的對手!!!,"Terlalu lemah, musuh yang terburuk!"
raidMonsterCriWitch,마력의 무서움을 느껴보시죠!,Feel my magic power!,我讓你體會到魔力的恐懼!,Feel my magic power!,Poczuj mą magiczną moc!,我讓你體會到魔力的恐懼!,Rasakan kekuatan sihirku!
raidMsg1,탐험 도중 처음 보는 드래곤이 출현했다.\n보통의 적들과는 다른 강력한 기운이 느껴진다.,While exploring you encountered unusual dragon.\nIt's power is completely different from others.,冒險中遇到曾經見過的神龍。\n它散發著與眾不同的強烈氣息。,探検中始めて見るドラゴンが出現した。\n通常の敵とは別の強力なオーラが感じられる。,Natknąłeś się na niezwykłego smoka.\nJego moc jest zupełnie inna od poprzednio spotkanych smoków.,冒險中遇到曾經見過的神龍。\n它散發著與眾不同的強烈氣息。,Ketika sedang menjelajah kamu bertemu dengan naga yang tidak biasa.\nkekuatannya benar - benar berbeda dari yang lainnya.
raidMsg2,도전하시겠습니까?,Would you like to challenge?,是否要進行挑戰？\n需消耗 1 點疲勞度。\n( 若伺服器回溯，將無法獲得獎勵。 ),挑戦しますか？\nレイドは3つまで参加することができます。,Czy chciałbyś podjąć wyzwanie?\nMożesz wziąć udział jedynie w 3 najazdach.,是否要進行挑戰？\n需消耗 1 點疲勞度。\n( 若伺服器回溯，將無法獲得獎勵。 ),Kamu mau menantang?\nKamu hanya bisa masuk sampai 3 raids.
raidMsg3,레이드를 포기 하시겠습니까?,Do you want to give up raid?,您要放棄團隊戰鬥嗎?,レイドを諦めますか？,Czy chcesz wycofać się z najazdu?,您要放棄團隊戰鬥嗎?,Kamu mau berhenti raid?
raidMsg4,%s의 알을 획득하였습니다.,You received %s's Egg.,獲得%s的龍蛋。,%sの卵を獲得しました。,Otrzymałeś %s`s jajo.,獲得%s的龍蛋。,Kamu mendapat %s's egg.
raidMsg5,%d골드를 획득하였습니다.,You received %d Gold.,獲得%d金幣。,%dゴルドを獲得しました。,Otrzymałeś %d złota.,獲得%d金幣。,Kamu mendapat %d gold.
raidMsg6,아이템 %s을(를) 획득하였습니다.,You received %s item.,獲得%s物品。,アイテム%sを獲得しました。,Otrzymałeś %s przedmiotów,獲得%s物品。,Kamu mendapat %s item.
raidMsg7,아이템 %s을(를) %d개 획득하였습니다.,You received 3 %s items.,獲得3個%s物品。,アイテム%sを３つ獲得しました。,Otrzymałeś trzy %s przedmioty.,獲得3個%s物品。,Kamu mendapat 3 %s items.
rainbow-field,무지개 동산,Rainbow,彩雲煙,虹ワールド,Tęcza,彩雲煙,Rainbow
rainbow-fieldIntro,당신은 무지개 동산으로 탐험을 떠났습니다.\n신비한 기운이 감도는 곳입니다.,You ventured into the Rainbow.\nThe place looks very interesting.,彩雲煙的冒險已開始。\n這是一個充滿神秘氣息的地方。,あなたは虹ワールドへ探検に出ました。\n神秘的な気運が感じられるところです。,Doatrłeś do miejsca zwanego Tęczą.\nW powietrzu rozmazują się piękne kolory.,彩雲煙的冒險已開始。\n這是一個充滿神秘氣息的地方。,Kamu menjelajah ke dalam Rainbow.\nTempat ini terlihat sangat menarik.
randomEggBuy10,빛의 드래곤알을 구매하기에는 정기가 모자랍니다.,You don't have enough light elements to buy a Light Type Dragon Egg.,元素不足，無法購買光的龍蛋。,光のドラゴン卵を購買するには精気が足りません。,Brak Ci wystarczającej liczby pierwiastków Światła aby kupić jajo smoka żywiołu Światła.,元素不足，無法購買光的龍蛋。,Light Element kamu tidak cukup untuk membeli Light Type Dragon Egg.
randomEggBuy9,빛의 드래곤알을\n빛의 정기 20개에 구매하였습니다.\n감사합니다.,You bought a Light Type Dragon Egg\nwith 20 light elements.\nThank You.,付20個光的元素，\n購買光的龍蛋。\n謝謝。,光のドラゴン卵を\n光の精気20個で購買しました。\nありがとうございます。,Kupiłeś jajo smoka żywiołu Światła\nza 20 pierwiastków światła.\nDziękujemy.,付20個光的元素，\n購買光的龍蛋。\n謝謝。,Kamu membeli sebuah Light Type Dragon Egg\nseharga 20 light elements.\nTerima Kasih.
rank_Rating_comment1,%d등급,%d Rating,階級%d,%d等級,Współczynnik %d,階級%d,%d Rating
rank_Rating_comment2,1명 최소조건:금별,1 person,1名 最低條件:金星,1名 最小条件:金星,1 osoba,1名 最低條件:金星,1 orang
rank_Rating_comment3,100명 최소조건:금별,100 persons,100名 最低條件:金星,100名 最小条件:金星,100 osób,100名 最低條件:金星,100 orang
rank_Rating_comment4,1000명 최소조건:금별,1000 persons,1000名 最低條件:金星,1000名 最小条件:金星,1000 osób,1000名 最低條件:金星,1000 orang
,,,,,,,
,,,,,,,
,,,,,,,
ranking,랭킹보기,RANKING,排名列表,順位,RANKING,排名列表,RANKING
rankingLabel,랭킹,RANKING,排名,Ranking,Ranking,排名,Ranking
rankingPointEarned,랭킹 포인트를 %d점 획득 하였습니다.,You've earned %d Ranking points.,獲得%d 積分,ランキング・ポイントを％d点獲得しました。,Zdobyłeś %d punktów rankingowych.,獲得%d 積分,kamu mendapat %d ranking points.
rankOneTenUseOnly,진영 랭킹 1위부터 10위까지만 사용 가능 합니다.,Only ranker 1 to 10 can use.,只允許陣營排名 1位至10位使用。,Only ranker 1 to 10 can use.,Może zostać uzyte tylko z Rangą #1~10,只允許陣營排名 1位至10位使用。,Hanya dapat digunakan oleh peringkat 1 sampai 10.
rankOneUseOnly,진영 랭킹 1위일 때만 사용 가능 합니다.,Only ranker 1 can use.,只允許陣營排名 1位使用。,Only ranker 1 can use.,Może zostać użyte tylko z Rangą #1,只允許陣營排名 1位使用。,Hanya dapat digunakan oleh peringkat 1.
refreshBotComment,새로운 수치의 봇들을 얻으려면\n%s골드가 소요 됩니다.\n※ 사용하지 않은 봇들은 사라집니다.,If you would like new bot numbers\ngold will be used.\n※ Bots that are not used will disappear.,若您要召喚新屬性角色須付%s金幣。\n※ 不使用的角色將會消失,If you would like new bot numbers\ngold will be used.\n※ Bots that are not used will disappear.,Jeśli chcesz nowe numery bota\nmusisz użyć do tego golda.\n※ Boty które nie są używane - znikają.,若您要召喚新屬性角色須付%s金幣。\n※ 不使用的角色將會消失,Jika kamu ingin sejumlah bot baru\ngold akan digunakan.\n※ Bot yang tidak digunakan akan menghilang.
registerNickname,닉네임을 입력해 주세요.,Please enter nickname.,請輸入暱稱。,Please enter nickname.,Wpisz Login.,請輸入暱稱。,Mohon masukkan nickname.
remove,해제,Remove,解除,解除,Usuń,解除,Dilepas
removeAccMsg,착용한 탈부착 아이템이 있으면\n드래곤을 승천할 수 없습니다.,Cannot ascend dragon with item.\nPlease remove item.,若身上穿上裝備\n則無法進行神龍升天。,Cannot ascend dragon with item.\nPlease remove item.,Nie można usunąć smoka z przedmiotem.\nUsuń przedmiot/amulet i spróbuj jeszcze raz.,若身上穿上裝備\n則無法進行神龍升天。,Tidak dapat ascend naga yang memakai item.\nMohon lepaskan item.
reonaScenario_aria,[아리아],[Aria],[阿麗雅],[Aria],[Aris],[阿麗雅],[Aria]
reonaScenario_field,에스텔라 신전,Estella Temple,埃斯特拉神殿,Estella Temple,Świątynia Estelli,埃斯特拉神殿,Estella Temple
reonaSCENARIO_GSKULLFIGHT,[G 스컬],[G Skull],[古拉德],[G Skull],[Czacha G],[古拉德],[G Skull]
reonaScenario_nelsen,[넬슨],[Nelson],[內爾森],[Nelson],[Nelson],[內爾森],[Nelson]
reonaScenario_noori,[누리],[Noori],[娜莉],[Nuri],[Nuri],[娜莉],[Nuri]
reonaScenario_reona,[레오나],[Leona],[蕾歐娜],[Leona],[Leons],[蕾歐娜],[Leona]
reonaScenario_zumun,[즈믄],[Zimon],[茲門],[J],[J],[茲門],[J]
reonaScenario0_1,오호라...이게 바로..,Ah ha! This is...,啊哈...這就是..,Ah ha! This is...,Ah ha! To jest...,啊哈...這就是..,Ah ha! Ini adalah...
reonaScenario0_2,아니..아니 잠깐만!,"Wait, wait, hold on",不..不 等等!,"Wait, wait, hold on",Moment! Poczekaj...,不..不 等等!,"Tunggu, tunggu, sebentar"
reonaScenario0_3,그래..그래..그녀석을 이용해보는 것도 좋겠군!!,Right... we should try to use him to our advantage,對..對..我們還可以利用它!!,Right... we should try to use him to our advantage,"Racja... Powinniśmy spróbować użyć go tak, aby wyszło to na naszą korzyść.",對..對..我們還可以利用它!!,Benar... kita harus mencoba untuk memanfaatkan dia
reonaScenario0_4,원래 절박한 녀석일 수록 사력을 다하는 법이니까..!!,It's always the most desperate one who tries the hardest!,逼到絕境，就會使出全力..!!,It's always the most desperate one who tries the hardest!,"Zawsze Ci którzy próbują na siłe czegoś więcej, są tymi zdesperowanymi!",逼到絕境，就會使出全力..!!,Biasanya orang yang paling putus asa selalu memberikan usaha terbaik!
reonaScenario0_5,크크큭 크크크큭 크하하하하핫!!,Muhahahaha muhahahahaah!!!,咔咔咔 咔咔咔卡 哈哈哈哈哈!!,Muhahahaha muhahahahaah!!!,Muhahahaha muhahahahaah!!!,咔咔咔 咔咔咔卡 哈哈哈哈哈!!,Muhahahaha muhahahahaah!!!
reonaScenario1_1,다크닉스를 물리친 이후 유타칸은 평화를 유지하고 있었다\n새파란 하늘은 그러한 평화를 대변하듯 나를 천천히 푸른색으로 물들이고 있다,Yukatan became a peaceful place after defeating Dark nix.\nBlue sky is more peaceful than ever.,擊敗達靈斯之後，幽塔卡恩一直都相安無事\n幽塔卡恩的藍色蒼空再次瀰漫著和平。,Yukatan became a peaceful place after defeating Dark nix.\nBlue sky is more peaceful than ever.,Yukatan stał się spokojniejszym i pokojowym miejscem po pokonaniu Mrocznego Nixa.\nBłękit nieba stał się pięky jak nigdy dotąd.,擊敗達靈斯之後，幽塔卡恩一直都相安無事\n幽塔卡恩的藍色蒼空再次瀰漫著和平。,Yukatan menjadi tempat yang damai setelah mengalahkan Dark nix.\nLangit biru paling damai yang pernah ada.
reonaScenario1_10,얼마 전 나는 탐험을 하다 흥미로운 석판 조각의 발견했어.. 놀랍게도\n그 석판 조각은 물의 여신 레오나가 살고 있는 심해의 신전의 열쇠였지...!!,"I was exploring and found an interesting piece of slate. Surprisingly,\nthe piece of slate was the key to Goddess of Water Leona's temple.",不久前，我在冒險中發現一塊有意思的石板裂片.. 那一塊裂片竟然是\n水之女神蕾歐娜的深海神殿的鑰匙...!!,"I was exploring and found an interesting piece of slate. Surprisingly,\nthe piece of slate was the key to Goddess of Water Leona's temple.","Jakiś czas temu, podczas jednej z moich wypraw znalazłem tajemniczy odłamek. Zaskakujące jest to,\nże nagle ten fragment przybrał kształt klucza do podwodnej świątyni Bogini Wody Lony.",不久前，我在冒險中發現一塊有意思的石板裂片.. 那一塊裂片竟然是\n水之女神蕾歐娜的深海神殿的鑰匙...!!,"Beberapa waktu yang lalu, aku menjelajah dan menemukan sebuah lempengan yang menarik. Ternyata,\nbenda itu merupakan kunci underwater temple milik Goddess of Water Lona."
reonaScenario1_11,열쇠의 파편... 그보다.. 물의 여신 레오나?!,"The key to.. What? Wait, Goddess of Water Leona?!?",鑰匙裂片... 更是.. 水之女神蕾歐娜?!,"The key to.. What? Wait, Goddess of Water Leona?!?",Klucz do… CO? Moment! Do świątyni Bogini Wody Lony?!?,鑰匙裂片... 更是.. 水之女神蕾歐娜?!,"Kunci.. Apa? Tunggu, Goddess of Water Lona?!?"
